You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
/home/nbrady/.local/lib/python3.9/site-packages/torchio/data/image.py:248: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/fepegar/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
torch.Size([16])
torch.Size([16, 1, 128, 256, 256])
Hyperparameters:
batch_size: 8
epochs: 300
learning_rate: 0.0001
n_heads: 4
n_layers: 3
dropout: 0.15
patch_size: 16
in_channels: 1
out_channels: 128
embedding_text_dim: 128
vocab_size: 32000
max_seq_length: 300
patience: 10
img_depth: 128
img_height: 256
img_width: 256
img_dims: (128, 256, 256)
Initializing data loader
Getting dataloaders
Columns in the dataframe:  Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions'],
      dtype='object')
Data in the dataloader: Index(['Subject ID', 'MRI ID', 'Group', 'Visit', 'MR Delay', 'M/F', 'Hand',
       'Age', 'EDUC', 'SES', 'MMSE', 'CDR', 'eTIV', 'nWBV', 'ASF', 'MRI-URL',
       'Generated_descriptions', 'MMSE_bin', 'MMSE_bin_codes',
       'MMSE_transformed'],
      dtype='object')
Finished loading the data
Device: cuda
Epoch 1: train_loss 11.1895, train_text_loss 10.3343, val_loss 10.9521, val_text_loss 10.2636, train_acc 0.5556, val_acc 0.6071
Epoch 2: train_loss 11.2405, train_text_loss 10.2367, val_loss 10.8384, val_text_loss 10.1793, train_acc 0.5556, val_acc 0.6071
Epoch 3: train_loss 10.9548, train_text_loss 10.1611, val_loss 10.8091, val_text_loss 10.1079, train_acc 0.5556, val_acc 0.6071
Epoch 4: train_loss 10.8206, train_text_loss 10.0902, val_loss 10.7180, val_text_loss 10.0337, train_acc 0.5802, val_acc 0.6071
Epoch 5: train_loss 10.6923, train_text_loss 10.0255, val_loss 10.6535, val_text_loss 9.9604, train_acc 0.5802, val_acc 0.6071
Epoch 6: train_loss 10.6707, train_text_loss 9.9516, val_loss 10.5582, val_text_loss 9.8852, train_acc 0.5802, val_acc 0.5714
Epoch 7: train_loss 10.7258, train_text_loss 9.8836, val_loss 10.5066, val_text_loss 9.8148, train_acc 0.4815, val_acc 0.5714
Epoch 8: train_loss 10.6736, train_text_loss 9.8116, val_loss 10.4145, val_text_loss 9.7423, train_acc 0.4815, val_acc 0.6071
Epoch 9: train_loss 10.4427, train_text_loss 9.7411, val_loss 10.3653, val_text_loss 9.6685, train_acc 0.5802, val_acc 0.5357
Epoch 10: train_loss 10.4111, train_text_loss 9.6661, val_loss 10.3295, val_text_loss 9.5883, train_acc 0.5062, val_acc 0.3929
Epoch 11: train_loss 10.3528, train_text_loss 9.5847, val_loss 10.2621, val_text_loss 9.5088, train_acc 0.4815, val_acc 0.4286
Epoch 12: train_loss 10.2098, train_text_loss 9.5130, val_loss 10.0882, val_text_loss 9.4323, train_acc 0.5802, val_acc 0.6786
Epoch 13: train_loss 10.1077, train_text_loss 9.4356, val_loss 10.0160, val_text_loss 9.3510, train_acc 0.5802, val_acc 0.5714
Epoch 14: train_loss 10.0057, train_text_loss 9.3515, val_loss 9.9279, val_text_loss 9.2658, train_acc 0.6667, val_acc 0.7143
Epoch 15: train_loss 9.9793, train_text_loss 9.2681, val_loss 9.8548, val_text_loss 9.1783, train_acc 0.5556, val_acc 0.6071
Epoch 16: train_loss 9.8995, train_text_loss 9.1859, val_loss 9.8299, val_text_loss 9.0966, train_acc 0.5679, val_acc 0.5357
Epoch 17: train_loss 9.8516, train_text_loss 9.1048, val_loss 9.6889, val_text_loss 9.0133, train_acc 0.5432, val_acc 0.6071
Epoch 18: train_loss 9.7505, train_text_loss 9.0228, val_loss 9.6000, val_text_loss 8.9289, train_acc 0.5062, val_acc 0.5714
Epoch 19: train_loss 9.6389, train_text_loss 8.9394, val_loss 9.5713, val_text_loss 8.8458, train_acc 0.5679, val_acc 0.5000
Epoch 20: train_loss 9.5637, train_text_loss 8.8527, val_loss 9.4238, val_text_loss 8.7653, train_acc 0.5556, val_acc 0.6786
Epoch 21: train_loss 9.5013, train_text_loss 8.7734, val_loss 9.3796, val_text_loss 8.6843, train_acc 0.5309, val_acc 0.6071
Epoch 22: train_loss 9.4721, train_text_loss 8.6918, val_loss 9.3540, val_text_loss 8.6069, train_acc 0.5556, val_acc 0.6071
